Column_Name,Data_Type,Description,Non_Null_Count,Unique_Values,Sample_Values
FAWN Station,object,Weather station identifier,6572,6,"['Apopka', 'DeFuniak Springs', 'Homestead']"
Period,datetime64[ns],Date/time of observation,6572,1096,"['.2f', '.2f', '.2f']"
2m T avg (F),float64,Average air temperature at 2m height,6572,3074,"['23.95', '69.87', '88.27']"
2m T min (F),float64,Minimum air temperature at 2m height,6572,2367,"['16.56', '60.71', '81.45']"
2m T max (F),float64,Maximum air temperature at 2m height,6572,2132,"['32.55', '80.82', '100.99']"
Tsoil avg-10cm  (F),float64,See documentation,6572,3224,"['39.14', '73.83', '96.12']"
Tsoil min(avg)-10cm  (F),float64,See documentation,6572,2214,"['32.00', '70.68', '91.58']"
Tsoil max(avg)-10cm  (F),float64,See documentation,6572,2327,"['41.89', '77.49', '103.12']"
2m DewPt avg (F),float64,See documentation,6572,3203,"['-32.22', '62.53', '79.53']"
RelHum avg 2m  (pct),int64,See documentation,6572,67,"['0.00', '79.92', '100.00']"
2m Rain tot (in),float64,See documentation,6572,268,"['0.00', '0.16', '9.90']"
2m Rain max over 15min (in),float64,See documentation,6572,109,"['0.00', '0.06', '1.50']"
SolRad avg2m  (w/m^2),float64,See documentation,6572,5852,"['0.01', '188.71', '380.16']"
10m Wind avg (mph),float64,See documentation,6572,1052,"['1.08', '5.06', '20.38']"
10m Wind min (mph),float64,See documentation,6572,288,"['0.00', '0.26', '8.06']"
10m Wind max (mph),float64,See documentation,6572,1928,"['5.65', '19.20', '80.10']"
WDir avg10m  (deg),int64,See documentation,6572,361,"['0.00', '160.64', '360.00']"
BP avg (mb),int64,See documentation,6572,37,"['992.00', '1011.39', '1029.00']"
N (# obs),int64,See documentation,6572,11,"['13.00', '95.96', '96.00']"
2m WetBulb (F),float64,See documentation,6572,3005,"['20.16', '65.29', '80.99']"
Year,int32,See documentation,6572,3,"['2022.00', '2023.00', '2024.00']"
Month,int32,See documentation,6572,12,"['1.00', '6.52', '12.00']"
Day,int32,See documentation,6572,31,"['1.00', '15.72', '31.00']"
DayOfWeek,int32,See documentation,6572,7,"['0.00', '3.00', '6.00']"
Quarter,int32,See documentation,6572,4,"['1.00', '2.51', '4.00']"
WeekOfYear,UInt32,See documentation,6572,52,"['1.00', '26.49', '52.00']"
Season,object,Season of the year,6572,4,"['Winter', 'Spring', 'Summer']"
Temp_Range,float64,Daily temperature range (max - min),6572,3766,"['2.97', '20.12', '57.46']"
Soil_Temp_Range,float64,See documentation,6572,2497,"['0.40', '6.81', '33.79']"
Temp_Category,category,Categorized temperature (Freezing/Cold/Mild/Warm/Hot),6572,5,"['Warm', 'Mild', 'Cold']"
Apparent_Temp,float64,See documentation,6572,6287,"['15.74', '69.94', '92.43']"
Wind_Range,float64,See documentation,6572,2677,"['5.64', '18.93', '78.67']"
Wind_Category,category,See documentation,6572,4,"['Calm', 'Light', 'Moderate']"
Wind_Chill,float64,See documentation,6572,3163,"['14.95', '69.68', '88.27']"
Rain_Category,category,Rainfall intensity category,6572,5,"['No Rain', 'Light', 'Heavy']"
Has_Rain,int64,See documentation,6572,2,"['0.00', '0.36', '1.00']"
Rain_Intensity,float64,See documentation,6572,109,"['0.00', '0.23', '6.00']"
Humidity_Comfort,category,See documentation,6571,4,"['Humid', 'Very Humid', 'Comfortable']"
Dewpoint_Comfort,category,See documentation,6572,5,"['Uncomfortable', 'Comfortable', 'Sticky']"
Solar_Category,category,See documentation,6572,2,"['Low', 'Moderate']"
Comfort_Index,float64,Weather comfort score (0-100),6572,6571,"['34.00', '84.35', '99.31']"
Weather_Severity,float64,Weather severity index,6572,6371,"['0.05', '0.98', '20.04']"
Station_Avg_Temp,float64,See documentation,6572,6,"['67.05', '69.87', '75.69']"
Station_Avg_Rain,float64,See documentation,6572,6,"['0.14', '0.16', '0.20']"
Temp_Deviation_From_Station,float64,See documentation,6572,5536,"['-43.29', '0.00', '20.11']"
Temp_Humidity_Interaction,float64,See documentation,6572,6224,"['0.00', '5617.94', '7520.00']"
Wind_Rain_Interaction,float64,See documentation,6572,2159,"['0.00', '1.00', '188.92']"
