FAWN Station,Period,2m T avg (F),2m T min (F),2m T max (F),Tsoil avg-10cm  (F),Tsoil min(avg)-10cm  (F),Tsoil max(avg)-10cm  (F),2m DewPt avg (F),RelHum avg 2m  (pct),2m Rain tot (in),2m Rain max over 15min (in),SolRad avg2m  (w/m^2),10m Wind avg (mph),10m Wind min (mph),10m Wind max (mph),WDir avg10m  (deg),BP avg (mb),N (# obs),2m WetBulb (F),Year,Month,Day,DayOfWeek,Quarter,WeekOfYear,Season,Temp_Range,Soil_Temp_Range,Temp_Category,Apparent_Temp,Wind_Range,Wind_Category,Wind_Chill,Rain_Category,Has_Rain,Rain_Intensity,Humidity_Comfort,Dewpoint_Comfort,Solar_Category,Comfort_Index,Weather_Severity,Station_Avg_Temp,Station_Avg_Rain,Temp_Deviation_From_Station,Temp_Humidity_Interaction,Wind_Rain_Interaction
Apopka,2022-01-01,73.4,66.4,82.4,72.59,70.05,75.51,65.34,78,0.0,0.0,156.5,4.29,0.0,17.83,196,1014,96,67.97,2022,1,1,5,1,52,Winter,16.0,5.460000000000008,Warm,74.27516000000001,17.83,Calm,73.4,No Rain,0,0.0,Humid,Uncomfortable,Low,94.39295909448431,0.3416000000000003,72.3688594890511,0.15990875912408758,1.0311405109489016,5725.200000000001,0.0
Apopka,2022-01-02,73.41,67.06,81.93,73.3,71.33,76.21,68.16,84,0.0,0.0,124.04,5.42,0.13,18.36,221,1013,96,69.8,2022,1,2,6,1,52,Winter,14.870000000000005,4.8799999999999955,Warm,74.355252,18.23,Light,73.41,No Rain,0,0.0,Very Humid,Uncomfortable,Low,94.07527514031416,0.3872999999999998,72.3688594890511,0.15990875912408758,1.0411405109488925,6166.44,0.0
Apopka,2022-01-03,61.63,47.97,71.69,71.53,68.76,73.78,50.1,68,0.03,0.03,178.06,9.36,0.43,28.5,309,1016,96,55.06,2022,1,3,0,1,1,Winter,23.72,5.019999999999996,Mild,59.751772,28.07,Light,61.63,Light,1,0.12,Humid,Comfortable,Low,74.86996276331722,0.8528999999999998,72.3688594890511,0.15990875912408758,-10.738859489051102,4190.84,0.2808
Apopka,2022-01-04,58.21,43.94,72.05,67.77,64.67,70.65,51.42,80,0.0,0.0,144.97,5.12,0.05,16.96,39,1019,96,54.32,2022,1,4,1,1,1,Winter,28.11,5.980000000000004,Mild,55.09744,16.91,Light,58.21,No Rain,0,0.0,Humid,Comfortable,Low,92.77965514235713,0.7942999999999999,72.3688594890511,0.15990875912408758,-14.158859489051103,4656.8,0.0
Apopka,2022-01-05,62.97,54.84,74.03,68.73,66.36,71.55,58.64,87,0.0,0.0,116.53,4.12,0.02,14.23,353,1014,96,60.27,2022,1,5,2,1,1,Winter,19.189999999999998,5.189999999999998,Mild,60.951687,14.21,Calm,62.97,No Rain,0,0.0,Very Humid,Comfortable,Low,88.3546899886866,0.5163,72.3688594890511,0.15990875912408758,-9.398859489051105,5478.39,0.0
Apopka,2022-01-06,60.95,51.1,71.62,68.74,65.89,71.56,51.64,74,0.0,0.0,164.96,3.28,0.0,22.12,312,1013,96,55.57,2022,1,6,3,1,1,Winter,20.520000000000003,5.670000000000002,Mild,58.739990000000006,22.12,Calm,60.95,No Rain,0,0.0,Humid,Comfortable,Low,85.58830403320692,0.5836999999999999,72.3688594890511,0.15990875912408758,-11.418859489051101,4510.3,0.0
Apopka,2022-01-07,64.25,52.02,73.38,69.54,67.59,72.0,56.9,77,0.01,0.01,153.47,5.32,0.09,17.34,348,1017,96,59.73,2022,1,7,4,1,1,Winter,21.359999999999992,4.409999999999997,Mild,62.788925,17.25,Light,64.25,Light,1,0.04,Humid,Comfortable,Low,93.8976587475996,0.5203,72.3688594890511,0.15990875912408758,-8.118859489051104,4947.25,0.053200000000000004
Apopka,2022-01-08,62.67,49.24,76.87,68.35,65.12,71.83,54.86,77,0.0,0.0,179.11,5.97,0.56,20.45,77,1024,96,57.98,2022,1,8,5,1,1,Winter,27.630000000000003,6.709999999999994,Mild,60.807447,19.89,Light,62.67,No Rain,0,0.0,Humid,Comfortable,Low,91.13455853102212,0.6053,72.3688594890511,0.15990875912408758,-9.698859489051102,4825.59,0.0
Apopka,2022-01-09,69.15,58.66,81.99,69.71,66.74,73.06,62.49,81,0.0,0.0,132.61,4.81,0.02,22.15,121,1023,96,64.8,2022,1,9,6,1,1,Winter,23.33,6.320000000000007,Mild,68.92279500000001,22.13,Calm,69.15,No Rain,0,0.0,Very Humid,Sticky,Low,98.12045646584356,0.23489999999999972,72.3688594890511,0.15990875912408758,-3.2188594890510984,5601.150000000001,0.0
Apopka,2022-01-10,66.62,57.13,76.5,70.59,68.63,72.39,62.79,88,0.01,0.01,107.15,6.08,0.0,22.5,299,1020,96,64.12,2022,1,10,0,1,2,Winter,19.369999999999997,3.760000000000005,Mild,65.63844800000001,22.5,Light,66.62,Light,1,0.04,Very Humid,Sticky,Low,89.6636996845389,0.4321999999999998,72.3688594890511,0.15990875912408758,-5.7488594890511,5862.56,0.0608
Apopka,2022-01-11,57.51,48.58,69.28,68.5,65.91,70.63,47.6,71,0.0,0.0,167.87,8.22,0.25,22.12,25,1023,96,52.08,2022,1,11,1,1,2,Winter,20.700000000000003,4.719999999999999,Mild,54.583593,21.87,Light,57.51,No Rain,0,0.0,Humid,Dry,Low,77.63224194673597,0.9533,72.3688594890511,0.15990875912408758,-14.858859489051106,4083.21,0.0
Apopka,2022-01-12,60.42,50.88,72.21,67.49,64.87,70.21,51.43,75,0.0,0.0,150.64,5.81,0.76,17.76,49,1019,96,55.24,2022,1,12,2,1,2,Winter,21.32999999999999,5.339999999999989,Mild,58.048950000000005,17.0,Light,60.42,No Rain,0,0.0,Humid,Comfortable,Low,88.85254444672023,0.7113999999999999,72.3688594890511,0.15990875912408758,-11.948859489051102,4531.5,0.0
Apopka,2022-01-13,60.15,51.44,70.23,68.22,65.64,71.13,52.41,77,0.03,0.03,174.85,6.15,0.02,24.43,305,1012,96,55.65,2022,1,13,3,1,2,Winter,18.790000000000006,5.489999999999995,Mild,57.647115,24.41,Light,60.15,Light,1,0.12,Humid,Comfortable,Low,89.11658725851011,0.7985,72.3688594890511,0.15990875912408758,-12.218859489051106,4631.55,0.1845
Apopka,2022-01-14,56.07,48.67,65.93,66.72,64.31,69.19,43.18,65,0.0,0.0,184.65,5.77,0.0,17.6,303,1011,96,49.38,2022,1,14,4,1,2,Winter,17.260000000000005,4.8799999999999955,Mild,53.082015,17.6,Light,56.07,No Rain,0,0.0,Humid,Dry,Low,79.47418284426391,0.9273,72.3688594890511,0.15990875912408758,-16.298859489051104,3644.55,0.0
Apopka,2022-01-15,56.88,40.92,72.5,65.19,61.72,68.54,46.17,71,0.0,0.0,175.92,3.24,0.0,15.64,168,1013,96,51.11,2022,1,15,5,1,2,Winter,31.58,6.820000000000007,Mild,53.805984,15.64,Calm,56.88,No Rain,0,0.0,Humid,Dry,Low,80.96637059357352,0.7856,72.3688594890511,0.15990875912408758,-15.488859489051102,4038.48,0.0
Apopka,2022-01-16,62.23,57.76,66.7,65.82,64.13,66.78,54.57,76,0.54,0.3,70.24,12.94,1.25,38.23,230,1005,96,57.65,2022,1,16,6,1,2,Winter,8.940000000000005,2.6500000000000057,Mild,60.281284,36.98,Moderate,62.23,Heavy,1,1.2,Humid,Comfortable,Low,70.74617782543834,1.9861000000000002,72.3688594890511,0.15990875912408758,-10.138859489051107,4729.48,6.9876000000000005
Apopka,2022-01-17,53.48,46.96,58.89,63.05,61.12,65.01,45.05,74,0.0,0.0,171.31,11.17,0.92,28.97,292,1011,96,49.05,2022,1,17,0,1,3,Winter,11.93,3.8900000000000077,Mild,49.44581599999999,28.049999999999997,Moderate,53.48,No Rain,0,0.0,Humid,Dry,Low,69.04338470945402,1.2728000000000002,72.3688594890511,0.15990875912408758,-18.888859489051107,3957.52,0.0
Apopka,2022-01-18,46.39,36.27,57.63,61.11,57.92,64.2,38.45,75,0.0,0.0,191.74,4.53,0.05,16.33,336,1019,96,42.66,2022,1,18,1,1,3,Winter,21.36,6.280000000000001,Cold,40.546525,16.279999999999998,Calm,44.300546410130615,No Rain,0,0.0,Humid,Dry,Low,81.00205123434847,1.3617,72.3688594890511,0.15990875912408758,-25.978859489051104,3479.25,0.0
Apopka,2022-01-19,56.36,40.16,71.8,61.09,57.38,65.03,48.34,76,0.0,0.0,145.46,4.14,0.34,17.16,86,1019,96,51.94,2022,1,19,2,1,3,Winter,31.64,7.649999999999999,Mild,52.939088,16.82,Calm,56.36,No Rain,0,0.0,Humid,Dry,Low,86.59973522963374,0.8476,72.3688594890511,0.15990875912408758,-16.008859489051105,4283.36,0.0
Apopka,2022-01-20,62.34,49.19,76.41,63.78,59.97,68.04,54.31,78,0.0,0.0,185.61,3.45,0.02,12.08,214,1016,96,57.55,2022,1,20,3,1,3,Winter,27.22,8.070000000000007,Mild,60.36831600000001,12.06,Calm,62.34,No Rain,0,0.0,Humid,Comfortable,Low,89.64776465017665,0.5209999999999999,72.3688594890511,0.15990875912408758,-10.0288594890511,4862.52,0.0
Apopka,2022-01-21,61.37,52.93,71.33,65.62,62.83,68.65,57.21,87,0.0,0.0,115.27,4.62,0.02,19.35,23,1015,96,58.82,2022,1,21,4,1,3,Winter,18.4,5.820000000000007,Mild,58.892326999999995,19.330000000000002,Calm,61.37,No Rain,0,0.0,Very Humid,Comfortable,Low,88.78642145039242,0.6163000000000001,72.3688594890511,0.15990875912408758,-10.998859489051107,5339.19,0.0
